Periode;Nombre defaillance entreprise;Codes
2023-03;1915;A
2023-02;1813;A
2023-01;1765;A
2022-12;1709;A
2022-11;1691;A
2022-10;1610;A
2022-09;1571;A
2022-08;1517;A
2022-07;1495;A
2022-06;1408;A
2022-05;1336;A
2022-04;1313;A
2022-03;1260;A
2022-02;1217;A
2022-01;1177;A
2021-12;1149;A
2021-11;1122;A
2021-10;1117;A
2021-09;1109;A
2021-08;1119;A
2021-07;1138;A
2021-06;1200;A
2021-05;1195;A
2021-04;1180;A
2021-03;1160;A
2021-02;1158;A
2021-01;1214;A
2020-12;1273;A
2020-11;1348;A
2020-10;1409;A
2020-09;1505;A
2020-08;1600;A
2020-07;1595;A
2020-06;1686;A
2020-05;1762;A
2020-04;1874;A
2020-03;2011;A
2020-02;2115;A
2020-01;2163;A
2019-12;2211;A
2019-11;2224;A
2019-10;2255;A
2019-09;2326;A
2019-08;2329;A
2019-07;2347;A
2019-06;2337;A
2019-05;2396;A
2019-04;2391;A
2019-03;2396;A
2019-02;2380;A
2019-01;2404;A
2018-12;2397;A
2018-11;2371;A
2018-10;2379;A
2018-09;2311;A
2018-08;2320;A
2018-07;2317;A
2018-06;2351;A
2018-05;2320;A
2018-04;2355;A
2018-03;2365;A
2018-02;2459;A
2018-01;2457;A
2017-12;2479;A
2017-11;2503;A
2017-10;2539;A
2017-09;2574;A
2017-08;2598;A
2017-07;2626;A
2017-06;2593;A
2017-05;2655;A
2017-04;2625;A
2017-03;2627;A
2017-02;2642;A
2017-01;2644;A
2016-12;2673;A
2016-11;2715;A
2016-10;2699;A
2016-09;2738;A
2016-08;2810;A
2016-07;2808;A
2016-06;2892;A
2016-05;2922;A
2016-04;2909;A
2016-03;2992;A
2016-02;2974;A
2016-01;3044;A
2015-12;3123;A
2015-11;3063;A
2015-10;3096;A
2015-09;3153;A
2015-08;3099;A
2015-07;3104;A
2015-06;3102;A
2015-05;3032;A
2015-04;3086;A
2015-03;3064;A
2015-02;3035;A
2015-01;3058;A
2014-12;3010;A
2014-11;3082;A
2014-10;3071;A
2014-09;3049;A
2014-08;3032;A
2014-07;3039;A
2014-06;3047;A
2014-05;3061;A
2014-04;3053;A
2014-03;3076;A
2014-02;3097;A
2014-01;3069;A
2013-12;3117;A
2013-11;3107;A
2013-10;3141;A
2013-09;3122;A
2013-08;3125;A
2013-07;3141;A
2013-06;3081;A
2013-05;3076;A
2013-04;3051;A
2013-03;2953;A
2013-02;2942;A
2013-01;2934;A
2012-12;2837;A
2012-11;2786;A
2012-10;2765;A
2012-09;2731;A
2012-08;2711;A
2012-07;2717;A
2012-06;2700;A
2012-05;2723;A
2012-04;2760;A
2012-03;2786;A
2012-02;2793;A
2012-01;2757;A
2011-12;2787;A
2011-11;2794;A
2011-10;2733;A
2011-09;2727;A
2011-08;2787;A
2011-07;2771;A
2011-06;2721;A
2011-05;2748;A
2011-04;2743;A
2011-03;2728;A
2011-02;2777;A
2011-01;2790;A
2010-12;2782;A
2010-11;2803;A
2010-10;2805;A
2010-09;2849;A
2010-08;2874;A
2010-07;2853;A
2010-06;2918;A
2010-05;2890;A
2010-04;2858;A
2010-03;2918;A
2010-02;2894;A
2010-01;2873;A
2009-12;2888;A
2009-11;2921;A
2009-10;2927;A
2009-09;2895;A
2009-08;2842;A
2009-07;2830;A
2009-06;2802;A
2009-05;2726;A
2009-04;2709;A
2009-03;2654;A
2009-02;2551;A
2009-01;2507;A
2008-12;2411;A
2008-11;2338;A
2008-10;2279;A
2008-09;2238;A
2008-08;2158;A
2008-07;2155;A
2008-06;2092;A
2008-05;2113;A
2008-04;2096;A
2008-03;2045;A
2008-02;2079;A
2008-01;2090;A
2007-12;2069;A
2007-11;2055;A
2007-10;2067;A
2007-09;2041;A
2007-08;2050;A
2007-07;2065;A
2007-06;2051;A
2007-05;2021;A
2007-04;2035;A
2007-03;2019;A
2007-02;1951;A
2007-01;1917;A
2006-12;1894;A
2006-11;1895;A
2006-10;1879;A
2006-09;1826;A
2006-08;1821;A
2006-07;1804;A
2006-06;1774;A
2006-05;1789;A
2006-04;1783;A
2006-03;1775;A
2006-02;1784;A
2006-01;1785;A
2005-12;1831;A
2005-11;1833;A
2005-10;1864;A
2005-09;1908;A
2005-08;1911;A
2005-07;1911;A
2005-06;1926;A
2005-05;1931;A
2005-04;1898;A
2005-03;1897;A
2005-02;1906;A
2005-01;1891;A
2004-12;1901;A
2004-11;1899;A
2004-10;1880;A
2004-09;1834;A
2004-08;1821;A
2004-07;1801;A
2004-06;1832;A
2004-05;1778;A
2004-04;1778;A
2004-03;1799;A
2004-02;1750;A
2004-01;1742;A
2003-12;1742;A
2003-11;1725;A
2003-10;1689;A
2003-09;1719;A
2003-08;1726;A
2003-07;1744;A
2003-06;1709;A
2003-05;1731;A
2003-04;1718;A
2003-03;1710;A
2003-02;1745;A
2003-01;1674;A
2002-12;1647;A
2002-11;1637;A
2002-10;1668;A
2002-09;1693;A
2002-08;1667;A
2002-07;1653;A
2002-06;1656;A
2002-05;1658;A
2002-04;1691;A
2002-03;1648;A
2002-02;1574;A
2002-01;1650;A
2001-12;1643;A
2001-11;1627;A
2001-10;1625;A
2001-09;1560;A
2001-08;1563;A
2001-07;1557;A
2001-06;1542;A
2001-05;1536;A
2001-04;1554;A
2001-03;1542;A
2001-02;1624;A
2001-01;1612;A
2000-12;1583;A
2000-11;1604;A
2000-10;1599;A
2000-09;1621;A
2000-08;1642;A
2000-07;1653;A
2000-06;1676;A
2000-05;1685;A
2000-04;1626;A
2000-03;1652;A
2000-02;1654;A
2000-01;1686;A
1999-12;1709;A
1999-11;1724;A
1999-10;1729;A
1999-09;1734;A
1999-08;1774;A
1999-07;1778;A
1999-06;1789;A
1999-05;1796;A
1999-04;1837;A
1999-03;1875;A
1999-02;1861;A
1999-01;1856;A
1998-12;1893;A
1998-11;1895;A
1998-10;1900;A
1998-09;1987;A
1998-08;1997;A
1998-07;2000;A
1998-06;2048;A
1998-05;2053;A
1998-04;2072;A
1998-03;2110;A
1998-02;2134;A
1998-01;2171;A
1997-12;2190;A
1997-11;2205;A
1997-10;2237;A
1997-09;2227;A
1997-08;2203;A
1997-07;2215;A
1997-06;2250;A
1997-05;2266;A
1997-04;2260;A
1997-03;2218;A
1997-02;2186;A
1997-01;2186;A
1996-12;2186;A
1996-11;2191;A
1996-10;2225;A
1996-09;2194;A
1996-08;2232;A
1996-07;2238;A
1996-06;2158;A
1996-05;2157;A
1996-04;2186;A
1996-03;2209;A
1996-02;2271;A
1996-01;2245;A
1995-12;2231;A
1995-11;2213;A
1995-10;2163;A
1995-09;2119;A
1995-08;2065;A
1995-07;2055;A
1995-06;2049;A
1995-05;2031;A
1995-04;1969;A
1995-03;1914;A
1995-02;1862;A
1995-01;1882;A
1994-12;1853;A
1994-11;1846;A
1994-10;1806;A
1994-09;1835;A
1994-08;1861;A
1994-07;1860;A
1994-06;1839;A
1994-05;1830;A
1994-04;1821;A
1994-03;1850;A
1994-02;1892;A
1994-01;1894;A
1993-12;1902;A
1993-11;1906;A
1993-10;1931;A
1993-09;1924;A
1993-08;1863;A
1993-07;1851;A
1993-06;1888;A
1993-05;1888;A
1993-04;1884;A
1993-03;1875;A
1993-02;1841;A
1993-01;1817;A
1992-12;1810;A
1992-11;1768;A
1992-10;1756;A
1992-09;1764;A
1992-08;1757;A
1992-07;1780;A
1992-06;1727;A
1992-05;1699;A
1992-04;1668;A
1992-03;1651;A
1992-02;1604;A
1992-01;1541;A
1991-12;1511;A
1991-11;1519;A
1991-10;1502;A
1991-09;1462;A
1991-08;1423;A
1991-07;1394;A
1991-06;1378;A
1991-05;1368;A
1991-04;1378;A
1991-03;1332;A
1991-02;1333;A
1991-01;1322;A
1990-12;1314;A
